Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
61		CB02_02	PM2.5	4.022818089	2.263186044	7.651123341	1.158004236	195	44.82197464	0		0.387400528	25.05067587	0		2.825012058			5.07035926	4.940035567	5.247148499	0	5.556167662	0.176014099	5.925215408	
64		CB02_02	PM2.5	0.893959575	1.066876133	3.431744101	1.048339735	42	33.63750279	53.41135263		11.30456105		0		0.91699753			0.065731915	0.070501101	0.079370645	0.09016032	0.109863991	0.137780688	0.176179456	
63		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	3	80.65055609	13.13438416		0.048048131		0.082082849		0.147891743			0.531884329	0.571455946	0.643224269	0.732291397	0.895020738	1.124168187	1.438984461	
65		CB02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	13.97401541	9.313903749		0.190241844		0.022244289		21.21473849			0	0.215768022	35.0885421	0	6.10371232	8.537764847	5.339073762	
66		CB02_02	PM2.5	1.564429257	1.411344463	5.410161198	1.488862589	57	30.20204604	0		0.069157616		3.196283802		0			0	12.65510172	9.51609239	0	0	10.89105979	33.4702611	
67		CB02_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	23	0	0		21.4688018		0		11.2861678			0	11.93969324	37.83189952	17.47344434	0	0	0	
68		CB02_02	PM2.5	2.793623673	1.88598837	6.754738484	1.29968861	134	57.4575305	26.90860927		6.005369499		0		5.142441764			2.230648696	2.255388722	0	0	0	0	0	
71		CB02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	19	64.16057944	0		33.77094567		0.029893933		0			0.184174662	0.197389373	0.222016498	0.252079265	0.306904875	0.384589634	0.491431216	
69		CB02_02	PM10	31.73556492	6.356648192	21.6856904	1.179207978	902	33.26475322	0.016588866		2.96714846	8.732692152	0.021748098		1.741090976	36.57782972		0.738554634	7.4323304	2.832871117	0	5.674393475	0	0	
70		CB02_02	PM10	5.587247345	2.667190332	10.89722006	1.691311806	215	34.99829173	0		1.720186509	20.49294859	0		10.20815223			1.963364333	13.89566511	3.216816485	0	1.354705729	2.713127807	9.436739236	
73		CB02_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	11	22.9273349	5.785103515		18.91686022		0.017360013		0.027068093			0	0.60619819	2.70735044	0.4991116	5.464287102	2.653278597	40.39603174	
72		CB02_02	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	72	44.08993423	25.34891665		0.722118141		0.360070216		22.76742458			0	0	0	0	6.711527705	0	0	
74		CB02_02	PM2.5	3.464093354	2.100147767	6.940385866	1.106541693	136	69.49030757	0		6.383115798		1.287517976		1.077255234			0	0	0	0	6.481613964	15.28018564	0	
75		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	52.70524025	0		9.769460559		0.826933701		0.029088988			1.355435792	1.810458302	0.71107801	2.326939441	0	0	30.46536446	
76		CB02_02	PM2.5	3.911073142	2.231531534	10.63467501	2.301137891	117	32.3633045	7.487292588		0		7.777710259		0			2.588550933	20.19732594	4.043758661	0	0	25.54205656	0	
82		CB02_02	PM2.5	3.575838301	2.133752265	9.443893055	1.984789186	131	50.22853613	0		5.388881639		0		0			7.967361808	17.89717078	0	0	0	18.51805001	0	
79		CB02_02	PM10	7.710401336	3.1332392	11.34541249	1.328476059	227	54.54417467	5.483671278		19.04743165		0		0			5.842893571	9.651426226	0	0	0	5.430406705	0	
80		CB02_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	30	0	0		0		3.206741065		1.57687366			25.1773417	42.85576642	0	27.18328238	0	0	0	
83		CB02_02	PM2.5	0.893959575	1.066876133	4.96196877	2.191695967	28	33.14124942	0		10.40257066		2.207139321		3.773788735			0	0	0	0	40.81240594	9.66283828	0	
77		CB02_02	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	29	0	0		0		0.064061466		98.55792522			0	0.145474263	0.244480954	0.180428324	0.214271992	0.263046753	0.330317114	
84		CB02_02	PM10	16.53825214	4.588807757	16.04483621	1.238714163	554	53.74109745	2.734318934		1.819401234	32.13094175	0.555487536		1.176328305			4.712820053	0	0	0	0	3.129599616	0	
85		CB02_02	PM10	21.11979496	5.18561068	20.5267605	1.587600652	692	53.06156874	0		18.29105765	19.68289763	1.015986502		0.136772078			0	0.724852504	1.345731877	1.235596929	2.85224542	1.653286442	0	
87		CB02_02	PM2.5	3.128858513	1.995942481	6.67784082	1.134165249	115	35.08021832	16.26890451		24.95855838		2.587652206		0			0.226160302	3.422096372	2.097285911	0.710564479	10.39244384	3.031174652	1.224940922	
86		CB02_02	PM10	10.83925985	3.714966255	12.53619445	1.153777187	324	50.29032826	0		18.23155284		3.83211188		2.292757109			0	0	1.395565365	9.308637679	0	3.080415726	11.56863421	
88		CB02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	48	11.16783023	0		3.576395288		0		11.11541316			1.308628917	2.197272144	4.930021614	6.352718174	0	49.40080643	9.950918704	
89		CB02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	58.80606174	0		39.50638175		0.024673133		0			0.150445732	0.161176955	0.181242346	0.205707294	0.250299112	0.313523063	0.400487985	
90		CB02_02	PM10	5.587247345	2.667190332	9.81518782	1.372111699	259	71.92984223	0		16.5397808		0		0			0	0	0	0	0	11.53037921	0	
91		CB02_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	60	36.72142029	0		13.82997632		0.00299627		2.867531776			0	2.957108617	17.97170937	17.54288077	0	8.106379956	0	
95		CB02_02	PM2.5	3.128858513	1.995942481	8.841905299	1.988364173	127	42.61831045	19.92771178		3.477523103		0.633337349		1.541017834			0	0	3.344963118	3.365242854	0	5.554915965	19.53698099	
94		CB02_02	PM10	14.3033532	4.267504531	15.85918883	1.399310887	556	52.18162537	0		2.977914363	37.36359477	0		0			0	0	0	2.92179957	0	4.364199936	0.190863851	
92		CB02_02	PM10	20.67281518	5.13044304	26.35326207	2.673371266	717	51.57176256	0		13.23745698	18.11828762	2.641686425		1.779775321			0	7.144191861	4.103443772	0	0	0	1.403394621	
96		CB02_02	PM2.5	2.681878726	1.847883667	9.475745111	2.664266971	104	74.13948178	2.581646107		0.627575489		0.373614556		3.142385185			1.106963959	0	0	2.490375564	0	1.528085861	14.0098691	
98		CB02_02	PM2.5	2.011409044	1.600314199	5.410161198	1.158004236	63	43.28089952	32.88931549		19.88529414		0		3.944492713			0	0	0	0	0	0	0	
99		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	0	0		0		0.49840766		0			63.09282184	20.37639171	0	4.81691435	4.267416522	0	6.948046386	
100		CB02_02	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	25	56.42808676	0		0		0.008585813		10.34148782			3.357624635	0	0	23.080872	1.269573346	0	5.513771623	
102		CB02_02	PM2.5	1.229194416	1.251023157	4.405026622	1.256222687	63	62.58813739	0		10.48862934		0.011588262		11.8287392			9.039029479	5.500046909	0	0.543825654	0	0	0	
104		CB02_02	PM2.5	1.340939363	1.306651072	4.590674005	1.250644575	58	69.53072548	0		0		0.123390334		5.76197654			1.504584774	1.56618394	0.318187312	2.5184948	0	0	18.67645234	
103		CB02_02	PM10	29.72415588	6.151907891	29.63121084	2.350603635	684	52.47525573	0.739316409		4.384674132	11.47923097	1.373246405		2.844513208			0	3.018179722	11.59565151	3.824615479	0	0	8.265319467	
105		CB02_02	PM10	41.23388541	7.245730707	25.59747899	1.264533289	1232	47.37344384	3.95133011		14.28113282	14.5650506	0	5.418432131	0			1.647017524	1.094592363	2.786541544	0.162559783	0	5.695351958	3.0245414	
108		CB02_02	PM10	9.721810381	3.518265684	12.16489968	1.211323251	282	46.57096863	6.215949357		10.9120205		0.433991477		21.57060206			6.539643556	6.373279542	0	0	0	0.776191195	0.607343577	
106		CB02_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	77	28.13273966	0		14.06329125		0.024598726		0.077261432			3.011681512	7.020501047	16.43729955	1.43002905	20.7509622	5.30696772	3.744659573	
111		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	26	0	32.24989474		0.791943446		0.018172049		0			0	0	0	0	0	12.05772385	54.88226414	
109		CB02_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	51	26.6882956	2.436088771		25.66250563		2.615293488		0.367531949			0	0	0	4.528332874	0	0	37.7019465	
110		CB02_02	PM2.5	2.90536862	1.923338301	6.120898673	1.026169907	132	54.97223735	19.31219101		20.81697583		0		0			0	0	0	3.69406864	0	0	1.20452866	
112		CB02_02	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	39	75.73486567	0		5.611514673		0		0.020138496			4.410831258	0	0	14.22264725	0	0	0	
114		CB02_02	PM2.5	4.022818089	2.263186044	7.75987306	1.191156913	207	62.55511642	0		1.466789469	28.89030576	0.495375833		1.308058761			1.309655327	0	0	0	0.506291632	0	3.468414024	
113		CB02_02	PM10	24.47214337	5.582015826	20.18731779	1.325181508	852	49.86367226	0		13.64618093	18.63305122	0		12.60917187			0	0	0	0	1.819132827	0	3.428796679	
115		CB02_02	PM10	5.475502398	2.640383718	8.656257917	1.088996636	149	33.74878168	6.264144927		19.06233728	22.97046483	0.595207745		1.7053755			2.150904015	0	0.25188087	0	3.442003205	0	9.808897972	
119		CB02_02	PM2.5	1.45268431	1.360005555	5.224513816	1.495239131	60	39.41716552	0		4.246348515		0.587677024		3.333603591			2.666665427	10.58225632	14.21058774	21.98713422	2.322155423	0	0.646406692	
118		CB02_02	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	63	54.91048098	0		9.67092365		7.143939286		17.15783626			1.791025884	0.913388934	0	0	0	0	8.412409574	
120		CB02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	64	28.02596688	5.028094351		0		1.51255941		0.034901238			0.180082559	5.289215222	26.40958428	24.62194711	8.897648752	0	0	
121		CB02_02	PM10	8.157381124	3.22277834	10.63467501	1.10328529	291	42.1931237	37.94243932		1.152870897		0		1.041706651			4.43649441	13.23337108	0	0	0	0	0	
122		CB02_02	PM10	36.76408753	6.841746127	26.27636441	1.494503363	1000	55.67728877	5.02702333		0		0		28.88538539			1.941125654	0.512309885	0.460687	0	1.43564567	3.370149434	2.690387145	
123		CB02_02	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	45	38.24602365	33.29436183		0		0.022490573		0			6.015701964	9.216751903	10.97070724	0	0	0	2.233973145	
124		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	18.02089363	5.916840211		0.069284945		0.010005764		0			39.37924802	14.50080872	0	22.10291922	0	0	0	
127		CB02_02	PM10	15.75603751	4.478974216	15.4109964	1.199511919	487	47.39619195	6.565809995		11.84646115	21.77908123	0		0.074566295			0	7.68866092	0	0	4.649236798	0	0	
126		CB02_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	50	48.74820113	0		11.60736978		3.872457147		0.01057788			0	0	5.165458098	29.75313067	0.842818245	0	0	
130		CB02_02	PM2.5	2.681878726	1.847883667	9.552642774	2.707684604	56	58.84285569	10.93948483		0		0		0			0	0	0	0	6.4113684	23.80628437	0	
128		CB02_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	32	0	8.562440425		5.259731039		7.425028831		0			3.854044154	7.423055917	36.43923104	12.11152002	9.857149422	4.500632361	4.567164928	
131		CB02_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	18	13.97183388	20.0864926		0.070812105		0.009708396		0			28.63806784	32.20072985	3.07458248	0	0	1.947779395	0	
132		CB02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	21	30.52345514	28.29700708		12.04164326		0.01009714		0.463848095			0.202417886	0.809264742	0.907343626	0.148308626	0	0	26.59660876	
133		CB02_02	PM2.5	1.229194416	1.251023157	4.513776341	1.31901468	59	56.11416698	0		17.66470969		0.877811573		0.582200056			0	7.679446787	13.72555047	3.356102481	0	0	0	
137		CB02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	15	0	0		74.76193309		0.050948281		0			2.67762281	3.348596767	0	0	0	19.16090548	0	
134		CB02_02	PM2.5	3.128858513	1.995942481	6.940385866	1.225099731	103	40.72125852	19.26347315		10.13712734		0		2.957651205			4.553362727	0	0	0.332097476	0.704189483	0.148684648	21.18215859	
136		CB02_02	PM10	7.710401336	3.1332392	12.08800202	1.508072427	235	42.65621603	19.18584853		12.91324645		2.304055542		0			0	0	0.261143013	12.1645838	5.533826351	0	4.981066287	
135		CB02_02	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	68	61.74273491	0.731373439		0.650135567	35.91956794	0.169572781		0			0	0	0	0	0	0.78661805	0	
139		CB02_02	PM2.5	3.24060346	2.03127164	6.492193438	1.0350162	141	48.76891375	0.01913119		0	31.30545914	2.17954535		2.012493834			0	0	0	4.863790795	0	0	10.85066572	
140		CB02_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	46	47.36220539	3.526604921		1.899057813		0		0.064677274			0.476498902	0.963728782	0.553861447	0.285066362	0	37.97839284	6.889902055	
142		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	0	47.74957299		0.979134534		0.782091264		2.798836678			4.345754534	4.646093026	5.190391093	5.889454111	7.163979858	8.98643285	11.46825999	
143		CB02_02	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	43	64.64871168	0		1.648724638		0.005703331		0.00963199			0	0	4.922754318	27.96634734	0.798135437	0	0	
145		CB02_02	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	61	41.44901037	3.659676015		7.686132938		4.638284072		1.166345179			23.13103527	18.26951951	0	0	0	0	0	
144		CB02_02	PM2.5	0.558724735	0.84343964	3.060449336	1.33402088	31	33.46459568	19.69380677		0.263314368		13.94951344		31.59388304			0.308588939	0.085233565	0.0874019	0.098680775	0.119027577	0.148023921	0.187941431	
146		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	0	64.60444331		1.51546644		0.509248767		0.846553873			2.943854406	3.153722733	3.531750292	4.014151543	4.893459752	6.141215935	7.846134901	
147		CB02_02	PM2.5	1.676174204	1.46088031	5.410161198	1.389605083	70	47.22954035	3.671848774		3.38476412		0.002833598		1.28677655			0	1.257954352	11.0119164	14.43292946	0.835853163	11.12443507	5.761137605	
149		CB02_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	14	55.34666181	0		42.84316003		0.026013091		0.044581547			0.157521735	0.168717583	0.189681421	0.215244293	0.261819595	0.327870995	0.418727053	
151		CB02_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	61	33.08021724	48.22191894		14.41022158		4.270944744		0.016697729			0	0	0	0	0	0	0	
152		CB02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	9	0	64.46037292		0		32.54768252		0			0.273591839	0.292266393	0.327783497	0.37116115	0.449839886	0.561708026	0.715602934	
150		CB02_02	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	47	18.28419119	3.493108228		17.72587299		2.796492167		13.66822571			0	0	0	0	0	44.03210878	0	
148		CB02_02	PM10	48.72079685	7.876118663	30.97578813	1.567185784	1768	47.76191115	0		5.831043795	33.50932598	0		0.381713337			1.249498781	1.544959936	0.821734685	1.929676905	0	1.664146781	5.305981636	
154		CB02_02	PM2.5	4.246307982	2.325202624	8.022418106	1.206116422	199	41.41560197	8.081566542		0.00119109	25.57200193	0.044716237		2.332400158			0	2.028136328	3.652503714	3.362935781	4.153843224	6.067780778	3.287323192	
153		CB02_02	PM2.5	2.90536862	1.923338301	6.415295774	1.12725524	94	52.05398798	0		33.65191221		4.122129083		0.925789494			0	0	9.246178716	0	0	0	0	
156		CB02_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	0	82.78867602		11.93058416		0.07394969		0.128804753			0.457799388	0.490948418	0.552077172	0.627382379	0.764774997	0.959020294	1.225974225	
155		CB02_02	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	44	61.11695766	9.535834938		12.10576966		0		9.174450487			0	0	5.339159444	0	0	0	2.727823704	
157		CB02_02	PM2.5	1.78791915	1.508790696	5.038866433	1.130076784	64	64.83268142	0		7.654825598		1.8389754		0.241783378			6.744983792	0	0	0	0	18.68674457	0	
158		CB02_02	PM10	10.61576996	3.676468156	13.50947697	1.368093274	295	59.82866287	8.48524943		10.00913307	18.20872724	0.650526816		0			0	0	0	2.817703597	0	0	0	
159		CB02_02	PM10	14.97382289	4.366378755	18.50329779	1.819515338	466	60.3446424	2.378551476	14.38189894	1.710857078		0		18.1795463			0	0	0	0	3.004511446	0	0	
160		CB02_02	PM2.5	2.681878726	1.847883667	6.044001009	1.083927057	94	36.20899618	0		4.502297938		0.099910912		12.26802915			4.598331451	18.51379871	15.19160718	0	4.64642942	0	3.97060886	
162		CB02_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	26	0	75.28354526		16.75261706		0.390128559		0.188526988			0.666798046	0.714791194	0.803234242	0.912626181	1.112074591	1.394108869	1.781550795	
161		CB02_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	19	84.08252001	0		0		0.024171421		0.042697211			0	15.85061252	0	0	0	0	0	
163		CB02_02	PM2.5	0.558724735	0.84343964	2.874801954	1.177085747	32	46.13677263	13.75284195		0.075277867		0.008197178		22.71961421			3.730428964	1.868117973	0	0	0	0	11.70874238	
