Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
20		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	8	0	55.85312247		3.564323485		0.624948787	1.023827121		3.533767536	3.782538325	4.231539741	4.806321487	5.854041502	7.345346361	9.380219877
21		QR02_01	PM2.5	1.005704522	1.131593022	3.771186811	1.125319451	39	35.24346948	30.93851507		0.134966918		0	1.489844918		0	0	0	0	0	32.19320476	0
24		QR02_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	15	50.60661435	0		14.15351331		1.776939817	0.026414488		0	2.911510319	3.847686946	0	11.66955754	0	15.00776857
26		QR02_01	PM2.5	0.782214628	0.997971241	3.508641765	1.252397696	16	0	14.04623985		34.12370086		0	48.44595492		0.479925843	0.319183478	0.355776702	0.40049497	0.480587734	0.595184555	0.752955535
25		QR02_01	PM10	7.375166496	3.06436839	12.79873949	1.767472665	169	37.23115623	1.81692671		5.195116624		0.467107026	0	33.70992243	6.499305367	0	0	2.073049918	0	0	13.00741732
27		QR02_01	PM2.5	1.45268431	1.360005555	4.96196877	1.34873598	45	6.076439098	3.523048013		6.547160447		0.007896835	0.011870385		8.812586218	15.33669233	36.45476699	5.451182276	8.498983085	4.435283318	4.844102636
28		QR02_01	PM10	6.369461974	2.847779989	9.366995392	1.096195462	120	44.48330998	27.14572847		0		0	5.637191236		7.922453433	0	0	0	13.55632991	1.254988648	0
32		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	0	45.24400234		7.262543589		0	1.229530573		4.212427512	4.504604638	5.033449829	5.712624267	6.950866431	8.719961345	11.12998873
33		QR02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	33	20.51574886	11.41771153		37.88990378		0	0.076160941		30.10047078	0	0	0	0	0	0
35		QR02_01	PM2.5	0.782214628	0.997971241	3.956834194	1.592795084	42	32.0263356	10.28363109		0.188184413		0	0		0	0	1.235152036	39.00679946	0	17.25989729	0
38		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	76.97665095	16.29631817		0		0.089812267	0.161469216		0.580234267	0.623382581	0.701577449	0.798738841	0.976230949	1.226139348	1.569443755
62		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	16	13.46048862	0		1.519751642		0.244423118	0		5.729691312	55.80633283	22.85630554	0	0	0	0.383006549
72		QR02_01	PM2.5	0.558724735	0.84343964	3.431744101	1.677343577	16	0	0		41.56448543		0	0.11738122		6.868944317	5.45688346	4.358432814	21.09254897	0	0	20.5413267
131		QR02_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	20	54.35845852	42.72922277		1.732153632		0.017601415	0		0	0.123092404	0.138670066	0.157678302	0.192415761	0.241560163	0.309148594
137		QR02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	20	44.52020526	0		0.572678773		0.062788406	0.084775093		0	0	0	54.75956202	0	0	0
148		QR02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	22	13.71030658	47.61963785		34.25295651		0.063973019	0.109017279		0.384307909	0.411626743	0.462552719	0.525017874	0.638813945	0.800054707	1.021726895
149		QR02_01	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	26	0	0		1.970879175		47.45804369	37.27988303		0	0	4.709003493	1.54970549	1.850775629	2.290105633	2.891604602
154		QR02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	36	77.89912224	0		0		0.016860067	17.24804938		3.097058833	1.000775956	0	0.23946818	0.191998575	0	0.30665861
159		QR02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	41	58.5528791	0		0		0	2.613154426		0	0.103695074	2.183164284	0.578442961	4.384040087	0	31.58462942
161		QR02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	26	21.99425995	46.56812251		0.637864089		0.0133215	0		0.625002384	0	0.457070488	6.33019805	6.101134419	0	17.27302074
162		QR02_01	PM2.5	2.234898938	1.68687928	5.224513816	0.971905435	76	32.8330785	0.575482706		4.642912745		0	0.012087786		0	0	0	13.38941157	0.259096269	14.33021873	33.95771086
163		QR02_01	PM2.5	3.017113566	1.959976608	6.306546055	1.049014815	125	46.43574953	0		10.88752449		0	2.802348323		0	0	3.317848593	5.198517442	0.198823074	1.268524025	29.89066541
164		QR02_01	PM2.5	1.005704522	1.131593022	3.508641765	0.974087097	43	30.32022417	8.050114661		0		0	0.0431705		0	0	0	0	0	54.38767076	7.198812068
165		QR02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	10	88.90740871	0		0.075523264		1.491442882	0.232592504		0.833106972	0.894966535	1.006647572	1.146172173	1.400905009	1.759465598	2.251777612
167		QR02_01	PM2.5	3.911073142	2.231531534	9.443893055	1.814664398	123	61.77971363	15.59610069		3.032619134		0	5.375295877		4.600602761	3.579884768	0	0	0	5.527802557	0.507975835
170		QR02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	43	40.55400193	14.79862034		0		0.040109555	7.696358114		20.03627568	15.32218009	0	1.271101274	0	0	0.281362399
175		QR02_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	58	7.48520717	30.04107773		0		1.557168178	8.988263458		0	0	1.198348776	40.6309545	0	0	10.09898037
174		QR02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	14	88.78180385	0		0		7.944986969	0.080275146		0.287278323	0.30825187	0.346930139	0.394354528	0.480960077	0.60340846	0.771748787
177		QR02_01	PM2.5	1.229194416	1.251023157	3.87993653	0.974582929	69	39.16174769	2.921872027		13.58877271		0.006953414	0		0	0	0	0	2.005071566	0	42.31557548
179		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	0	0		45.29164732		14.92023319	1.069365256		3.576107323	3.808670864	4.24721092	4.801796004	5.807916075	7.252630591	9.224425256
180		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	51.43935084	0		0		0.006571721	0.010592672		0	0	0	0	0.05899464	4.203427583	44.2810595
184		QR02_01	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	17	56.85971975	0		33.68124366		6.158968434	0		0.299157412	0.32032684	0.359939295	0.408399757	0.496643456	0.621768506	0.793834869
186		QR02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	27	87.19799519	0		0		0.049603754	0		8.073054254	2.636895701	0	0.63558179	0.538849132	0	0.868027657
187		QR02_01	PM10	69.17012213	9.384568973	36.05970017	1.495945653	1496	84.10711288	0		0		0	3.717644513		0	0	0	0	2.589782514	0	9.585467726
188		QR02_01	PM10	9.274830593	3.436434356	13.50947697	1.565889891	283	46.25089169	0.685926247	19.60204542	0		0.856588315	9.622789919		0.533027062	0	11.42302677	6.3844271	2.430530451	2.210755087	0
191		QR02_01	PM2.5	1.117449469	1.192803778	3.87993653	1.072041222	56	65.24112821	17.96687245		4.217218608		0	7.180096209		0	0	0	0	5.394690111	0	0
189		QR02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	9	0	35.46396196		39.6872282		0.388322258	0.629817275		2.171032876	2.321407944	2.59902589	2.948158421	3.583224118	4.48592715	5.721890926
196		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	6	0	63.71660829		1.514545828		0	0.882807095		3.067570738	3.286110237	3.679427132	4.181944206	5.097977817	6.398355961	8.174648136
197		QR02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	35	87.73117661	0		0		0.020639585	10.67441776		0	0	0.417338032	0.192378042	0.234114612	0.355166057	0.374773587
199		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	0	68.30724478		16.59204811		0	0.378632545		1.330468524	1.425906923	1.600352488	1.818677783	2.216537297	2.779181488	3.550940007
200		QR02_01	PM2.5	1.899664097	1.555225852	8.09931577	2.747957322	74	61.83205247	0		26.46939754		3.225649521	0		0	0	0	0.232316181	0	0	8.240589499
201		QR02_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	42	26.45221949	23.75260592		0.962522253		0.007633761	5.318263173		0	0	0	2.198698744	1.244038995	40.06401002	0
204		QR02_01	PM2.5	1.564429257	1.411344463	4.776321387	1.160436259	66	96.74813151	0		1.435161103		1.81670785	0		0	0	0	0	0	0	0
203		QR02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	17	58.09919834	24.5539099		0.362901343		0.006803256	8.25137943		2.702606283	1.358916797	0.826624036	3.837668523	0	0	0
205		QR02_01	PM2.5	2.458388832	1.769213915	8.361860816	2.263317234	88	76.28095746	0		7.112243772		0	0.023632732		0	0	0	5.958901346	5.921534449	4.438367859	0.264370325
207		QR02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	31	14.63049799	9.363571554		0.130818295		0.012371699	33.64136517		0	0	5.568405241	28.33282351	0	6.014566496	2.305576392
210		QR02_01	PM2.5	2.458388832	1.769213915	6.306546055	1.287427273	84	36.80468202	7.468376309		0		0	10.72519571		0	0	14.27827179	7.239250094	9.753789008	0	13.73044252
215		QR02_01	PM2.5	2.346643885	1.728536893	6.229648392	1.316042815	75	25.80108345	0		2.860085666		0.397243584	0		9.630640596	11.0670805	3.966876119	22.00640738	0	5.276784301	18.99379343
217		QR02_01	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	37	27.69841552	0		8.909316361		0	0.025726893		0	0	10.88224724	0	33.13847482	15.33109546	4.014726728
219		QR02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	23	35.12224257	4.712382331		48.01298976		0.027644084	0		4.511101544	0.579081662	0	0.462135207	0.265680766	0.397335691	5.909399688
221		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	3	0	44.35723126		1.077968813		0.873699598	1.396941021		4.767438024	5.096010119	5.690209195	6.456027925	7.853075862	9.854383767	12.57701814
223		QR02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	32	40.3452754	0.060173398		13.85866106		0	0		35.16342938	6.173121184	0	4.39933762	0	0	0
226		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	0	59.78529453		3.585994989		0.557254953	0.919401553		3.1862434	3.411934897	3.819093853	4.339217395	5.287228897	6.634346396	8.473999798
228		QR02_01	PM2.5	2.123153991	1.644166543	5.147616152	0.99316396	53	0	23.15155119		4.009529576		0.948913768	9.954292327		1.064196602	0	0	0	0	22.01523483	38.85629475
231		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	21	26.8399626	20.87824345		22.43708223		0.052644627	0.086783414		5.621448532	9.671761841	0	0	0	14.41207379	0
236		QR02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	9	4.516731203	0		1.473030727		0.068991841	87.85328865		0.948251504	0.574385235	0.637141988	0.714074215	0.850510038	1.046734303	1.316864975
240		QR02_01	PM2.5	2.123153991	1.644166543	5.410161198	1.097056644	70	38.09871674	1.013650279		1.731294207		6.147742644	0		1.57948155	6.289404631	5.432563648	2.701714449	7.344393432	21.43364251	8.227407932
242		QR02_01	PM2.5	3.352348407	2.065996747	6.67784082	1.058554232	86	40.01065791	0.717324484		0		0.558459666	15.99244326		1.392594352	4.883502424	8.533618599	18.70797575	3.519017622	0	5.68440184
245		QR02_01	PM10	6.48120692	2.872651902	9.552642774	1.120421215	194	58.90564322	13.42482269		0		2.433476411	22.4569723		0	0	0	0	0.426329765	0	2.352762409
246		QR02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	13	61.26608849	0		1.634848118		2.139160223	32.80501068		0.323624699	0.19805741	0.221795938	0.25073227	0.303057162	0.377554097	0.480070896
247		QR02_01	PM2.5	0.893959575	1.066876133	3.694289147	1.214881794	40	32.70543814	0		7.170984149		48.63947928	1.36999255		3.248838335	0	0	0	0	5.980165675	0.885102618
251		QR02_01	PM10	15.53254762	4.447094991	15.30224668	1.199659064	436	45.04697025	0		1.145317964	26.46691501	0.869486947	0.929097738		0	5.668153986	4.296614975	0	9.87373367	1.311437786	4.392271489
255		QR02_01	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	28	88.70280385	0		0.305751897		4.114963114	0		0	0	0	3.256167099	0	3.620306775	0
254		QR02_01	PM2.5	1.676174204	1.46088031	5.224513816	1.295873913	56	31.79234862	8.526856452		0.214973418		0.007340185	0.011930676		0.822984055	1.489104424	4.446928948	5.818447098	0	22.99149483	23.87758493
258		QR02_01	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	74	69.34037805	0		0		0	22.29076326		0.222726958	0.198168284	0.289029977	0.251863245	0.807374623	3.003675863	3.596024588
262		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	44.40863132	50.10647774		2.713875659		0.03715489	0.066653598		0.239505852	0.257129618	0.289526954	0.329257129	0.401867507	0.504446821	0.645471364
264		QR02_01	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	52	22.72443473	20.82530856		1.422742009		0	8.034773916		18.17109734	28.82164419	0	0	0	0	0
269		QR02_01	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	17	83.88153911	0		0		0.221232721	0.390154403		1.390653197	1.493895426	1.678659208	1.911954582	2.337570302	2.936497144	3.757845983
270		QR02_01	PM2.5	4.358052929	2.35559872	8.208065488	1.230210023	93	50.4452765	4.79897745		4.263868555		0	0		2.448023297	0.703548919	0	0	6.031166017	0	31.30914271
272		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	63.788414	0		31.0111016		0.073617493	0.127390167		0.451473473	0.483939052	0.544055738	0.617979793	0.75277905	0.943531655	1.205718704
267		QR02_01	PM2.5	1.78791915	1.508790696	5.858353627	1.527542937	56	24.0810588	11.4898704		0.152048829		4.947847128	0		0	0	27.78384686	18.65125597	12.8940776	0	0
275		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	52.08157897	19.33901161		0.048818273		0.022080838	27.77208686		0.357242674	0.167129817	0	0.2120469	0	0	0
277		QR02_01	PM2.5	1.45268431	1.360005555	4.776321387	1.249700586	44	58.99227858	20.8188206		0.103196013		0.018093495	0.031325046		0	0	0.831378531	2.832481451	4.001446441	12.37097383	0
278		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	6	0	43.04884076		1.193516608		0.896277931	1.429644134		4.873430356	5.20853363	5.814845115	6.596620381	8.022893965	10.06737277	12.84802109
279		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	13	67.49358177	28.82508337		0		0.048828602	0.088222249		0.317734573	0.341286208	0.384317432	0.437310943	0.534181856	0.670822943	0.858634338
280		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	6	67.98198223	0		22.33216763		0.136526278	0.236822432		0.839503575	0.900354143	1.011809614	1.150215231	1.402634755	1.759183221	2.248798683
281		QR02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	15	79.29145098	12.02447861		1.808191277		0.114205771	4.799136147		1.095617842	0	0	0.86691808	0	0	0
282		QR02_01	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	16	37.58060932	0		0		0.010168643	0.015840895		0	0.055637892	1.238972042	0.322184898	4.591604695	0	56.18498325
284		QR02_01	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	29	67.6594615	26.78054571		2.322729863		0	0		1.252725441	0.79088388	0.159068289	0.180854718	0.220932276	0.27756833	0.355227827
285		QR02_01	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	41	16.87105745	14.32501525		0		1.534926612	0.035389734		5.974597856	40.20582139	13.06849271	0	7.984694839	0	0
288		QR02_01	PM2.5	3.687583248	2.166835669	6.940385866	1.03947856	130	32.81345963	0		21.91144079		0.084962731	4.186917841		0	0	24.07882065	5.249317363	9.429073334	0	2.246005647
291		QR02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	82.95245767	9.962725639		4.04038541		0.040388553	0.072984345		0.262870663	0.282316329	0.317943399	0.361704454	0.441705948	0.554636074	0.709879259
292		QR02_01	PM2.5	4.022818089	2.263186044	7.202930912	1.026309243	101	66.23674631	0		0.431350758		0	23.34553152		0	2.556348406	5.567371473	1.133552473	0	0	0.729109393
298		QR02_01	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	16	93.44425201	0		0		0.083347154	0		0.85539408	0.692364015	0.654898444	0.745679112	0.911828876	1.145621948	1.466615219
