Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Mo Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
49		MGL02_03	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	19	53.76650691	15.41632861		0.025411916			0.768169481		28.31633687		0	0.61059054	0.592573592	0.089333649	0.10809215	0.134913682	0.171743787
50		MGL02_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	48	0	54.75705266		3.920906782			0		19.51940507		0	0	0	6.110750884	8.400088549	7.291792333	0
55		MGL02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	15	76.78865194	0		0			0.009235468		22.33759612		0.216856925	0.069486164	0.078004168	0.088362861	0.107183144	0.133916468	0.170699786
57		MGL02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	52	26.61910057	38.17310929		1.9906817			0		10.1969853		10.14825702	0	0	12.87187487	0	0	0
56		MGL02_03	PM10	10.39228006	3.637562637	14.17516883	1.538635592	436	19.38284487	1.29436776	30.55027127	0			38.61254454		0.370465498		1.954042725	3.494708985	0	0	0	2.52620969	1.814536005
58		MGL02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	14	0	2.865632065		8.767563105			5.550526083		16.05431139		31.23111427	22.88998365	0	0	0	10.33454165	2.306319214
60		MGL02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	18	43.45467389	19.05047596		0.269740308			0.009123129		8.923923224		1.169629116	0	0	19.61181164	0	0	7.510624081
62		MGL02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	24	18.09463799	0		0			0.006491926		6.749589741		0	0	22.40860015	22.3926127	17.82312542	8.121331781	4.403597116
63		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	29	43.28114092	0		0			8.329619467		47.58393168		0	0	0.174625486	0.112961268	0.13580966	0.168463867	0.213449658
61		MGL02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	23	94.57436204	0		0.962572079			0		0.096597901		0	0	1.385786943	0.479617482	0.585817639	0.972803961	0.942444988
66		MGL02_03	PM10	39.5577112	7.096931887	45.82984238	4.225282079	1562	19.99405921	1.620376296	28.26114297	0.428077392			37.7890408		1.645004563		2.264830843	1.880792342	4.327978566	0	1.408766117	0.379947829	0
65		MGL02_03	PM10	50.84395084	8.045901368	29.18301841	1.332942036	1425	42.46425033	7.20724538		17.49589592	19.44011301		0.489265285	8.110015094	1.243464369		0	0.44198581	0.211510737	0	0	2.896251902	0
71		MGL02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	11	49.77355003	0		0			0.058955955		45.29837668		0.671757851	0.457092933	0.510748243	0.576352794	0.694587315	0.863268599	1.095304638
69		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	11	4.744440317	5.191024765		0.225154194			0.016979073		0.024871493		1.74804721	0	0	1.896709576	63.05822134	16.717197	6.377361715
70		MGL02_03	PM2.5	1.229194416	1.251023157	4.142481576	1.110940318	57	69.75207925	0		9.806606174			2.743901499		16.79216772		0	0	0.350998668	0	0.152671221	0.289312447	0.112264685
73		MGL02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	24	23.093009	0		5.975638703			0.02662839		0		0.179319014	8.630891889	18.09571981	40.98698199	2.885990404	0	0.125813647
74		MGL02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	1.094336901	0		16.21454358			2.942784317		0.034282042		1.798968576	0	0	31.29600286	0	22.1319139	24.4871676
76		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	12	9.463020414	0		0			0.01593515		0.023920843		21.07414603	28.60174179	27.03369558	0	3.852913156	6.232405826	3.702217713
77		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	0	0		7.415447384			0.0327332		0.047825158		21.27747685	11.63614914	0	0	48.72840643	0	10.86196974
78		MGL02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	14	20.55407017	0		0			9.308638424		0.015171786		0.971110631	1.925056614	3.094295412	3.301670402	0	51.22811794	9.601854533
79		MGL02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19	40.00230432	0		0			19.31099445		39.02081847		0	0	0.491513591	0.197886652	0.237964233	0.364270411	0.374240405
81		MGL02_03	PM2.5	0.893959575	1.066876133	4.21937924	1.584781449	37	42.77316332	2.177575231		0			0		18.82273704		13.93635124	0	3.609496355	5.926059559	8.487521112	3.646644205	0.620445469
82		MGL02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	17	21.36300504	20.1837495		0			0.007644205		0.012021916		0	0	0	18.2725668	0	3.217330948	36.94367707
87		MGL02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	52	56.89891577	16.40632153		0			0		11.65172309		8.710644394	2.988531068	0	0	0	3.343866393	0
85		MGL02_03	PM2.5	2.123153991	1.644166543	7.945520442	2.366210299	75	62.08634973	0		0.465464732			1.937611774		18.70966405		0	0	0	6.704548746	5.319328979	4.777034372	0
88		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	28	51.48858428	34.63902175		0			0.129352789		8.238588274		2.042610385	1.289400272	0	0	2.17243731	0	0
89		MGL02_03	PM2.5	1.340939363	1.306651072	4.513776341	1.20909679	39	21.30129337	1.700169966		4.316844046			0		17.07169712		0	0	0	0	2.018282935	1.946983859	51.64473653
90		MGL02_03	PM10	12.73892395	4.027369083	13.32382959	1.108959102	422	55.75063825	0		0		19.29554045	0.089507637		17.49767214		0	0	0.238970923	1.748381928	1.74321942	2.919191308	0.71688192
93		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	15	52.77373195	27.90062726		0.384084578			0.018637332		13.74867857		3.306169808	1.069826074	0	0.256649544	0.208414043	0	0.333178998
92		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	37	51.18342042	0		0			0.067655538		0.023671902		0	0	32.06622601	16.65903181	0	0	0
96		MGL02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	28	65.78464508	10.94907597		18.2600528			0		0.035833847		2.156299539	0	0	0	0	2.814095467	0
95		MGL02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	11	51.70897841	0		5.619799718			38.6472255		0.104277651		0.359114935	0.383430766	0.429792423	0.48647793	0.589204533	0.735339569	0.936354697
98		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	51.63069963	0		2.899211459			2.169515379		7.311362773		0	0	0.842113048	8.924606442	15.72339982	0	10.49908996
99		MGL02_03	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	34	22.55166322	2.598060295		0.040588668			0		10.87070629		17.39062518	0	0	2.239787951	1.626528613	0.071408739	42.61062145
101		MGL02_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	52	66.01341963	0		1.096339524			3.032737598		26.43038332		2.630136535	0.564643741	0	0.232339278	0	0	0
102		MGL02_03	PM2.5	1.340939363	1.306651072	4.328128958	1.111684066	28	27.54564881	0.019878078		0.063659321			0		11.47211194		10.04850119	25.22883415	13.49340379	6.200193614	4.123254493	0	1.804514602
103		MGL02_03	PM2.5	3.017113566	1.959976608	7.388578295	1.439859904	101	42.84016788	24.69757348		1.156015228			4.17589657		0.635888707		7.315659523	11.30210757	7.876688242	0	0	0	0
100		MGL02_03	PM10	14.5268431	4.300715184	14.66840687	1.178649798	609	25.01578927	5.293505639	27.11184621	2.320806868			31.47116005		2.675880864		0	0	0.202499842	4.067262635	1.841250062	0	0
114		MGL02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	10	84.84318852	0		0.916321762			0.014011274		13.1360352		0.126139552	0.102870225	0.115662755	0.131229067	0.15958671	0.199812488	0.255148741
116		MGL02_03	PM10	18.1026814	4.800942597	19.44472826	1.662076405	438	50.92381835	0.653380668		0.97572729			10.75167581		18.17570329		0	0.76691471	8.84347856	6.610677391	2.298624068	0	0
