Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	P Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
21		QR02_03	PM2.5	3.128858513	1.995942481	6.754738484	1.160436259	103	46.96557522	0		0			7.401789725		36.90778911	2.941982076	2.085353062	0	0	0	3.697510064	0
18		QR02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	20	40.74904025	44.79815364		0.291599426			0.023116606		0	2.573743835	4.606138542	0	0	0	6.958214194	0
22		QR02_03	PM2.5	4.805032717	2.473450559	9.738290157	1.570576908	174	46.97964191	13.70762587		1.974830031			20.70390582		0	0	0	11.26272082	0	5.371275544	0	0
19		QR02_03	PM10	5.475502398	2.640383718	12.35054706	2.216861456	128	48.98142517	42.21431613		0.622281292			0		1.703154296	4.001252353	0.409319531	0	0	0	2.068243176	0
23		QR02_03	PM10	13.85637342	4.200295535	14.06641912	1.13633835	385	41.41291082	0.694813998		7.446941733	17.37320274		0		2.586909011	2.237964608	0	0	0	2.713353001	5.495022237	20.03887892
25		QR02_03	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	36	63.6062026	0		0			2.460613288		0	4.84729521	5.976923928	0	0	0	23.10896665	0
24		QR02_03	PM10	23.01945906	5.413805092	22.13388283	1.693597622	771	54.6043694	0		13.7078017	18.79987866		0.258560292		0.868447684	0	0	4.227133468	4.307525977	0.281441305	2.944835275	0
26		QR02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	32	43.48145723	10.41088998		0			0.407745875		0	0.708607771	0	0	0	4.545284063	0	40.44601619
28		QR02_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	52	31.02168143	9.917630255		0.813395437			0		0.599166565	0	0	17.55068302	22.26076871	12.68615276	5.150518194	0
27		QR02_03	PM10	7.039931655	2.993913722	11.53105987	1.503004037	238	56.81828856	14.91933763		4.844198376			4.752684012		11.49851903	2.785642818	3.430072963	0	0	0	0.951264426	0
30		QR02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	11	0	1.975367032		0			0.024787092		0.036226536	0	0	7.458180934	90.50543904	0	0	0
29		QR02_03	PM2.5	1.45268431	1.360005555	4.328128958	1.026169907	45	0	39.78011608		0.940976758			43.45236719		0	3.985099867	2.431877889	0	0.110488641	0	0	9.299086034
32		QR02_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	70	0	41.33990705		0			27.43217945		0.0116561	21.88994139	0	0	1.451358479	0	0	7.874945551
31		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	2	0	69.72259283		1.350755803			0.428016204		0.718583539	2.510379441	2.6906332	3.015335463	3.428395838	4.181315377	5.247706547	6.706295907
33		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	7	63.90652061	0		0			29.30724025		0.173004577	0.602323608	0.644131983	0.722715817	0.819269847	0.99473428	1.243840717	1.586222835
34		QR02_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	34	84.50769782	0		2.915020473			10.10050476		0.061047415	0.217774394	0.233544549	0.262790965	0.298539246	0.363783888	0.456146011	0.583152194
35		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	23	0	7.664081454		36.18116081			0.100569299		0.154221267	24.3645668	0	0	0	0	31.53539598	0
36		QR02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	21	66.27386808	0		0.266200723			1.981870458		1.740640774	0	6.717457622	21.56157643	1.458385214	0	0	0
38		QR02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	11	5.746319517	0		4.423749074			0.01364333		0.020500652	14.86347318	63.32179308	10.4331702	0	0	0	1.177355275
39		QR02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	27	5.15524596	20.47940195		27.56335437			5.418054014		0	10.85226983	20.35649568	0	0	0	10.17518193	0
40		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	92.02952385	0		0			0.114824786		0.206254399	0	0	0	0	0	0	7.649387419
41		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	5	0	87.21535206		1.13050174			0.163157808		0.284009823	1.008345	1.082054898	1.215910539	1.383231487	1.688469946	2.119023539	2.709953859
42		QR02_03	PM2.5	3.687583248	2.166835669	7.202930912	1.119610083	115	53.19756269	0		12.15426102			0		14.67623413	10.01881734	9.953121096	0	0	0	0	0
44		QR02_03	PM10	59.78354659	8.724607478	42.05865557	2.354611348	1698	49.3009299	11.10695824		1.655497402	4.918881133	7.114303112	1.258228999		23.65026176	0	0.830197614	0.164739136	0	0	0	0
45		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	14	82.51349926	0		0			0		0.429813657	1.530000195	1.643492095	1.84631981	2.102929913	2.571021207	3.229850903	4.133073986
47		QR02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	37	14.35340643	18.85229647		0.396393193			0.23176088		62.3382628	0	0	0.163281639	0.197935663	3.19458954	0.272080884	0
49		QR02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	32	34.96499956	47.16678262		4.73250486			0.02166179		0.037736469	0	4.029552266	2.02704072	0	7.019718736	0	0
46		QR02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	24	93.27766895	0		0			4.160239547		0.062382832	0.224414887	0.240944279	0.271336664	0.308572548	0.376632786	0.47279913	0.605012849
51		QR02_03	PM2.5	0.893959575	1.066876133	4.142481576	1.527542937	36	45.81571221	44.78980601		0			0.011585439		9.06155929	0.214833883	0	0	0.10649435	0	0	0
54		QR02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	26	33.20152462	38.57268393		0.353497476			0		0.058752106	0	13.36797327	13.65276724	0	0.792808179	0	0
55		QR02_03	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	64	63.11039925	0		0			1.553226821		0	0	17.25178659	18.08457673	0	0	0	0
58		QR02_03	PM2.5	0.223489894	0.533438066	1.607122332	0.919665974	12	0	0		0			2.189645544		2.690921724	8.82069245	9.37403813	10.39969549	11.73962876	14.20251876	17.84317195	22.73968756
59		QR02_03	PM2.5	4.69328777	2.444520318	15.34729229	3.993709587	180	40.84878862	3.061837703		0			0		1.824727282	4.456579685	0.383434817	0	0	1.167406701	39.32043314	8.936784416
57		QR02_03	PM2.5	0.335234841	0.653325536	2.317859807	1.275308684	25	43.85131299	2.146367729		7.870811224			2.732224017		0.019027609	0	0	0	0	4.767332599	38.61291409	0
56		QR02_03	PM2.5	1.229194416	1.251023157	3.956834194	1.013596872	45	2.245011553	6.093125045		0.201085047			0.656369794		0	11.15879789	23.52837771	18.63643825	0	26.06498599	7.108377665	4.307430983
61		QR02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	38	86.71099544	0		0			0.028519286		12.09330857	0.11487673	0.112159143	0.126135885	0.143147632	0.174150208	0.218116632	0.278596207
63		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	9	91.44156575	0		2.312478051			0.083189312		0.149832002	0.538751623	0.578813301	0.651492132	0.741676847	0.906444713	1.138483174	1.457271352
65		QR02_03	PM2.5	3.799328195	2.199421492	8.284963152	1.43768747	117	55.55810332	19.56340075		15.51998258			0		2.397320978	0	0	2.708620019	0	1.290281676	2.297945693	0.664345501
67		QR02_03	PM2.5	0.670469681	0.923941834	3.060449336	1.111684066	20	79.24995422	0		15.69401771			3.088249825		0	0.17726972	0.190140272	0.214001187	0.243140967	0.296344236	0.371657568	0.475226715
69		QR02_03	PM2.5	4.469797876	2.385607556	7.836770723	1.093393614	159	40.61164558	44.12656128		0.115940138			0		5.550140142	6.646177918	0	0	2.949543484	0	0	0
68		QR02_03	PM2.5	2.458388832	1.769213915	5.410161198	0.947458011	84	45.05804479	22.51377106		0			9.053681046		0	9.123550355	3.420458362	0	0	0	10.83050147	0
70		QR02_03	PM2.5	3.24060346	2.03127164	9.706438101	2.313577347	117	49.91429448	18.85351986		0			3.446798772		1.062296703	11.43861562	0	0	6.126336753	0	9.158142656	0
71		QR02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	19	48.40194881	36.76764071		0.258301105			0.054990134		0.027207268	0.656212587	0.638800254	0	0	0	13.19491118	0
72		QR02_03	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	57	35.01162529	0		53.49286199			0.148625043		10.33661216	0.218600756	0.098573219	0.093733711	0.106099085	0.128530269	0.160425028	0.204315735
75		QR02_03	PM2.5	2.011409044	1.600314199	6.306546055	1.573522222	82	55.31072021	0		6.874739379			0.003610759		3.867799044	2.275832929	0.049354497	0	0	16.01983011	15.59811682	0
74		QR02_03	PM2.5	3.128858513	1.995942481	8.022418106	1.636872287	87	72.32964039	0		20.42784691			4.040267318		0	0	2.301120386	0.901127607	0	0	0	0
73		QR02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	19	85.6771946	0		9.919665754			0		0.107497827	0.38569537	0.414102944	0.466116378	0.530206738	0.647295453	0.812550634	1.039676555
76		QR02_03	PM2.5	1.45268431	1.360005555	4.853219051	1.29026429	39	84.33277011	0		12.44487241			2.334258892		0.021733808	0.077959913	0.083644822	0.094191404	0.10702773	0.130480318	0.163693773	0.209375401
77		QR02_03	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	60	25.14001429	16.70462787		4.692685232			0		0	0.025384087	19.05844212	8.464470506	0	1.221007295	2.853582613	21.83978707
78		QR02_03	PM10	58.10737239	8.601430368	34.11313513	1.593683837	1634	54.03373241	0		8.865606785	14.54381645		0.586360879		14.17135596	1.052873954	0.931427628	0	0	0.266914116	2.576819248	2.971092425
79		QR02_03	PM2.5	3.799328195	2.199421492	8.284963152	1.43768747	110	42.85522997	8.665340394		11.04183421			0		0	0.323525141	0	0	1.060149912	0	36.05392575	0
80		QR02_03	PM2.5	3.24060346	2.03127164	6.569091101	1.059680187	112	64.25116658	3.884919733		0.150660891			3.208452091		5.754887313	0	0	3.41449976	1.740207709	0	14.04933333	3.545878455
81		QR02_03	PM2.5	3.687583248	2.166835669	6.940385866	1.03947856	138	74.54770803	0		5.567920581			4.296587035		0	5.465391278	0	0	2.953840047	5.752494931	0	1.416058186
82		QR02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	42	69.33740973	0		6.964122504			0		0.020815592	0	8.699724078	10.46488509	0	2.185750939	1.896203496	0.431077741
83		QR02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8	12.71053255	0		0			0.019999429		0.029279874	0.287423702	0.751596224	4.345975444	4.376261309	10.64269617	0	66.83624387
84		QR02_03	PM10	46.82113275	7.721043825	30.04755122	1.534498216	1070	70.03501058	0		3.030355275	5.731562525		1.157808676		18.46462935	0	0	0	1.580639184	0	0	0
87		QR02_03	PM2.5	1.78791915	1.508790696	4.776321387	1.015381726	57	62.59285808	0		0.860133581			0.050511828		19.00544912	3.977901116	10.75183228	2.761319652	0	0	0	0
88		QR02_03	PM2.5	1.229194416	1.251023157	4.328128958	1.212746254	63	70.23095489	0		2.280030772			0.007805457		16.53268337	0	0	0	0	10.94852686	0	0
91		QR02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	34	0	25.6673187		1.124008279			56.62482381		15.06863981	0.141694187	0.150471833	0.167902431	0.1891664	0.227287039	0.281796674	0.35688174
92		QR02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	12	52.12576985	28.03727984		0.127500028			15.78424722		0.417721132	1.482478622	0	0	2.025003918	0	0	0
93		QR02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	16	0	81.39610887		0			0.265793991		0.45641046	1.610710658	1.72796566	1.93960499	2.206600644	2.693440393	3.380699828	4.32266593
96		QR02_03	PM2.5	4.581542823	2.415243569	7.836770723	1.066725477	135	17.67410636	31.55471683		2.651160769			26.06877685		3.765067086	14.12185133	2.339677699	0	1.824644953	0	0	0
97		QR02_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	39	65.67727923	19.16544884		4.901680723			0.007666878		9.164839983	0.444466202	0	0.101103436	0.208830042	0.085310306	0.106862618	0.136514311
98		QR02_03	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	53	56.01720214	22.71148115		2.256961912			0.33265315		18.06971878	0	0	0.22029879	0.078883633	0.088583451	0.098542124	0.125669979
100		QR02_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	26	14.69919831	8.869188279		0			9.562594444		0.055873487	0	0	35.46850085	31.34464622	0	0	0
